,name,price_dis,price_nondis,freeship,rating,rating_count,monthly_sold,store_location,monthly_event,favorite_product,shopee_mall,discount_tag,product_url,image,ShopDacBiet
1822,"Điện thoại Soyes S10-H màu hồng, xanh",1.900.000,₫1.900.000,False,5.00,1,1/tháng,TP. Hồ Chí Minh,False,,False,,https://shopee.vn/%C4%90i%E1%BB%87n-tho%E1%BA%A1i-Soyes-S10-H-m%C3%A0u-h%E1%BB%93ng-xanh-i.9766537.6384159540?position=1982,https://cf.shopee.vn/file/32089c0299849fb6d4105b3e4e2dbd6a_tn,False
1823,[Sốc] Điện thoại nokia cổ độc X2-00 main zin chính hãng giá rẻ pin khủng-Bảo hành 12 tháng,275.000,₫275.000 - ₫299.000,False,5.00,1,1/tháng,TP. Hồ Chí Minh,False,,False,,https://shopee.vn/-S%E1%BB%91c-%C4%90i%E1%BB%87n-tho%E1%BA%A1i-nokia-c%E1%BB%95-%C4%91%E1%BB%99c-X2-00-main-zin-ch%C3%ADnh-h%C3%A3ng-gi%C3%A1-r%E1%BA%BB-pin-kh%E1%BB%A7ng-B%E1%BA%A3o-h%C3%A0nh-12-th%C3%A1ng-i.405102750.3017375011?position=1983,https://cf.shopee.vn/file/1dd16288703e1b78f3f03092ffeea4d1_tn,True
1824,( SLN 4 ) Điện Thoại Xiaomi Redmi 9A 2GB/32GB - Hàng Chính Hãng - Bảo hành điện tử 18 Tháng (dinhluan396),2.000.000,₫2.000.000,False,5.00,1,1/tháng,Hà Nội,False,,False,,https://shopee.vn/(-SLN-4-)-%C4%90i%E1%BB%87n-Tho%E1%BA%A1i-Xiaomi-Redmi-9A-2GB-32GB-H%C3%A0ng-Ch%C3%ADnh-H%C3%A3ng-B%E1%BA%A3o-h%C3%A0nh-%C4%91i%E1%BB%87n-t%E1%BB%AD-18-Th%C3%A1ng-(dinhluan396)-i.365841518.8916032712?position=1984,https://cf.shopee.vn/file/ed433bf36dfa9e65df7861f60d9cecc4_tn,False
1825,Màn hình thay thế cho điện thoại người già Masstel Fami 12,150.000,₫150.000,False,5.00,1,1/tháng,Hà Nội,True,Yêu thích,False,,https://shopee.vn/M%C3%A0n-h%C3%ACnh-thay-th%E1%BA%BF-cho-%C4%91i%E1%BB%87n-tho%E1%BA%A1i-ng%C6%B0%E1%BB%9Di-gi%C3%A0-Masstel-Fami-12-i.350654985.8416150287?position=1985,https://cf.shopee.vn/file/09cadc214f5e374b36aecd4876704e48_tn,True
1826,"Điện thoại dành cho người già Symphony D1, loa to, chữ to, màn hình rộng, FM",350.000,₫350.000,False,5.00,1,1/tháng,Hòa Bình,True,,False,,https://shopee.vn/%C4%90i%E1%BB%87n-tho%E1%BA%A1i-d%C3%A0nh-cho-ng%C6%B0%E1%BB%9Di-gi%C3%A0-Symphony-D1-loa-to-ch%E1%BB%AF-to-m%C3%A0n-h%C3%ACnh-r%E1%BB%99ng-FM-i.30274023.4279676164?position=1986,https://cf.shopee.vn/file/8db12e9a8c554429c7bc6eeaf19f5189_tn,False
1827,Điện Thoại Xiaomi M3 Pro 128GB 6GB RAM 5G Khang Nhung - Hàng Chính Hãng,4.890.000,₫4.890.000,False,,,1/tháng,Hà Nội,True,Yêu thích,False,,https://shopee.vn/%C4%90i%E1%BB%87n-Tho%E1%BA%A1i-Xiaomi-M3-Pro-128GB-6GB-RAM-5G-Khang-Nhung-H%C3%A0ng-Ch%C3%ADnh-H%C3%A3ng-i.39104237.12207773482?position=1987,https://cf.shopee.vn/file/fed4b5b83c72e1ee303f17e9a23a89c4_tn,True
1828,màn hình sam sung j600/A6 Qoled,480.000,₫480.000,True,5.00,1,1/tháng,Hà Nội,True,,False,,https://shopee.vn/m%C3%A0n-h%C3%ACnh-sam-sung-j600-A6-Qoled-i.244292162.9811618228?position=1988,https://cf.shopee.vn/file/ba344ffbd32f39c8de482b2b63aeb3a5_tn,False
1829,VỎ SAU IPHONE 8 PLUS,89.000,₫89.000,False,5.00,1,1/tháng,TP. Hồ Chí Minh,True,,False,,https://shopee.vn/V%E1%BB%8E-SAU-IPHONE-8-PLUS-i.67783592.8111467743?position=1989,https://cf.shopee.vn/file/2d6e9bbbd921c726e9f308972ea5c541_tn,False
1830,"[Siêu bền] Điện thoại Nhật Kyocera Dingo J 704KC-Chip Tám,RAM 3gb,Siêu Bền,Siêu Mượt Mà,Ghi Âm Cuôc Goi",1.000.000,₫1.000.000,False,5.00,1,1/tháng,Hà Nội,True,,False,,https://shopee.vn/-Si%C3%AAu-b%E1%BB%81n-%C4%90i%E1%BB%87n-tho%E1%BA%A1i-Nh%E1%BA%ADt-Kyocera-Dingo-J-704KC-Chip-T%C3%A1m-RAM-3gb-Si%C3%AAu-B%E1%BB%81n-Si%C3%AAu-M%C6%B0%E1%BB%A3t-M%C3%A0-Ghi-%C3%82m-Cu%C3%B4c-Goi-i.298560556.5878214464?position=1990,https://cf.shopee.vn/file/b5e1a91390bb302e06cd125b445aafa7_tn,False
1831,VỎ NOKIA 1661 KHÔNG PHÍM MÀU ĐEN,27.000,₫27.000,False,5.00,1,1/tháng,TP. Hồ Chí Minh,True,,False,,https://shopee.vn/V%E1%BB%8E-NOKIA-1661-KH%C3%94NG-PH%C3%8DM-M%C3%80U-%C4%90EN-i.240558831.3778978548?position=1991,https://cf.shopee.vn/file/cc63efd249d308960b8be57593a6f86e_tn,False
1832,Điện thoại Nokia 105 (2017) mới đủ pin sạc và bảo hành 3 tháng,245.000,₫245.000 - ₫269.000,False,5.00,1,1/tháng,Hà Nội,False,Yêu thích,False,,https://shopee.vn/%C4%90i%E1%BB%87n-tho%E1%BA%A1i-Nokia-105-(2017)-m%E1%BB%9Bi-%C4%91%E1%BB%A7-pin-s%E1%BA%A1c-v%C3%A0-b%E1%BA%A3o-h%C3%A0nh-3-th%C3%A1ng-i.89899849.6973727172?position=1992,https://cf.shopee.vn/file/ad5359ac4f4609c705fa5dffc910a158_tn,True
